participant,trial,factor,difficulty,D,time_total,time_to_grasp,placement_error,success,grasp_attempts,drops,cube_x,cube_y,cube_z,target_x,target_y,target_z
P01,0,transport_distance,easy,0.4,108.356,47.677,0.0341,1,4,2,0.48,-0.25,0.285,0.48,0.15,0.285
P01,1,transport_distance,medium,0.5,28.239,13.965,0.0072,1,2,0,0.48,-0.25,0.285,0.48,0.25,0.285
P01,2,transport_distance,hard,0.6,28.476,10.869,0.0405,1,1,0,0.48,-0.25,0.285,0.48,0.35,0.285
P01,3,transport_distance,easy,0.4,44.237,24.99,0.0108,1,3,0,0.48,-0.25,0.285,0.48,0.15,0.285
P01,4,transport_distance,medium,0.5,57.961,40.307,0.0341,1,3,0,0.48,-0.25,0.285,0.48,0.25,0.285
P01,5,transport_distance,hard,0.6,52.006,34.941,0.0309,1,3,0,0.48,-0.25,0.285,0.48,0.35,0.285
P01,6,grasp_difficulty,easy,0.5135,57.124,13.998,0.0147,1,1,0,0.42,-0.26,0.285,0.48,0.25,0.285
P01,7,grasp_difficulty,medium,0.5,29.396,14.123,0.0201,1,2,0,0.48,-0.25,0.285,0.48,0.25,0.285
P01,8,grasp_difficulty,hard,0.593,56.222,27.219,0.0276,1,2,0,0.54,-0.34,0.285,0.48,0.25,0.285
P01,9,grasp_difficulty,easy,0.5135,42.897,20.523,0.0307,1,2,1,0.42,-0.26,0.285,0.48,0.25,0.285
P01,10,grasp_difficulty,medium,0.5,37.281,10.617,0.0466,1,1,0,0.48,-0.25,0.285,0.48,0.25,0.285
P01,11,grasp_difficulty,hard,0.593,71.024,30.814,0.0281,1,4,2,0.54,-0.34,0.285,0.48,0.25,0.285
