participant,run_id,block_num,trial,difficulty,D,time_total,time_to_grasp,placement_error,success,outcome,drops,cube_x,cube_y,cube_z,target_x,target_y,target_z
P00_GroupA_20260113,1,2,0,easy,0.5135,125.467,98.488,0.0557,1,success,0,0.425,0.2583,0.3398,0.48,0.25,0.285
P00_GroupA_20260113,1,2,1,hard,0.593,111.759,81.832,0.0319,1,success,0,0.5117,0.2469,0.2827,0.48,0.25,0.285
P00_GroupA_20260113,1,2,2,medium,0.5,82.353,41.639,0.0803,0,missed_target,1,0.4049,0.2782,0.336,0.48,0.25,0.285
P00_GroupA_20260113,1,2,3,easy,0.5135,85.893,49.835,0.0749,0,missed_target,1,0.409,0.274,0.3164,0.48,0.25,0.285
P00_GroupA_20260113,1,2,4,medium,0.5,65.834,37.271,0.0647,1,success,0,0.421,0.2766,0.3159,0.48,0.25,0.285
P00_GroupA_20260113,1,2,5,hard,0.593,75.785,39.625,0.0401,1,success,0,0.4599,0.2847,0.2883,0.48,0.25,0.285
P01_GroupB_20260113,1,1,0,medium,0.5,81.3,47.799,0.0391,1,success,0,0.4411,0.2456,0.5266,0.48,0.25,0.285
P01_GroupB_20260113,1,1,1,medium,0.5,63.031,37.281,0.0217,1,success,0,0.4717,0.2701,0.3525,0.48,0.25,0.285
P01_GroupB_20260113,1,1,2,hard,0.593,68.755,27.838,0.0336,1,success,0,0.4538,0.271,0.3873,0.48,0.25,0.285
P01_GroupB_20260113,1,1,3,hard,0.593,89.91,44.545,0.0315,1,success,0,0.4491,0.2563,0.4086,0.48,0.25,0.285
P01_GroupB_20260113,1,1,4,easy,0.5135,44.991,43.879,0.5114,0,missed_target,1,0.4214,-0.258,0.2799,0.48,0.25,0.285
P01_GroupB_20260113,1,1,5,easy,0.5135,72.529,28.784,0.0378,1,success,0,0.4642,0.2844,0.3796,0.48,0.25,0.285
P02_GroupA_20260113,1,2,0,easy,0.5135,62.469,28.646,0.0651,0,missed_target,1,0.4149,0.2508,0.4067,0.48,0.25,0.285
P02_GroupA_20260113,1,2,1,medium,0.5,64.771,25.599,0.059,1,success,0,0.4216,0.2584,0.4385,0.48,0.25,0.285
P02_GroupA_20260113,1,2,2,hard,0.593,73.068,42.946,0.0238,1,success,0,0.4694,0.2713,0.4019,0.48,0.25,0.285
P02_GroupA_20260113,1,2,3,hard,0.593,69.712,29.796,0.0406,1,success,0,0.4407,0.2602,0.4416,0.48,0.25,0.285
P02_GroupA_20260113,1,2,4,easy,0.5135,76.525,40.072,0.0332,1,success,0,0.4473,0.2444,0.5631,0.48,0.25,0.285
P02_GroupA_20260113,1,2,5,medium,0.5,58.281,23.772,0.0565,1,success,0,0.4237,0.2453,0.461,0.48,0.25,0.285
P03_GroupB_20260113,1,1,0,easy,0.5135,81.333,47.36,0.0684,0,missed_target,1,0.453,0.1871,0.4229,0.48,0.25,0.285
P03_GroupB_20260113,1,1,1,easy,0.5135,64.258,29.837,0.0599,1,success,0,0.4203,0.2449,0.4156,0.48,0.25,0.285
P03_GroupB_20260113,1,1,2,hard,0.593,67.379,30.278,0.0537,1,success,0,0.4269,0.242,0.3521,0.48,0.25,0.285
P03_GroupB_20260113,1,1,3,medium,0.5,64.191,29.305,0.0515,1,success,0,0.4285,0.2508,0.429,0.48,0.25,0.285
P03_GroupB_20260113,1,1,4,hard,0.593,60.533,28.509,0.018,1,success,0,0.4652,0.2602,0.3735,0.48,0.25,0.285
P03_GroupB_20260113,1,1,5,medium,0.5,101.485,62.925,0.0346,1,success,0,0.4484,0.2641,0.4385,0.48,0.25,0.285
P04_GroupA_20260113,1,2,0,medium,0.5,64.193,29.248,0.0364,1,success,0,0.4437,0.2528,0.5164,0.48,0.25,0.285
P04_GroupA_20260113,1,2,1,medium,0.5,79.216,34.698,0.067,0,missed_target,1,0.413,0.2494,0.473,0.48,0.25,0.285
P04_GroupA_20260113,1,2,2,easy,0.5135,56.834,21.687,0.051,1,success,0,0.4291,0.2513,0.485,0.48,0.25,0.285
P04_GroupA_20260113,1,2,3,hard,0.593,85.807,52.927,0.0545,1,success,0,0.4258,0.2442,0.4834,0.48,0.25,0.285
P04_GroupA_20260113,1,2,4,easy,0.5135,60.768,24.066,0.0507,1,success,0,0.4312,0.2361,0.4221,0.48,0.25,0.285
P04_GroupA_20260113,1,2,5,hard,0.593,60.835,28.615,0.0392,1,success,0,0.4466,0.2705,0.4236,0.48,0.25,0.285
P05_GroupB_20260113,1,1,0,easy,0.5135,63.336,30.852,0.0672,0,missed_target,1,0.4144,0.2645,0.3746,0.48,0.25,0.285
P05_GroupB_20260113,1,1,1,hard,0.593,60.831,26.576,0.0412,1,success,0,0.4617,0.2131,0.4312,0.48,0.25,0.285
P05_GroupB_20260113,1,1,2,medium,0.5,74.741,35.061,0.0305,1,success,0,0.4497,0.2467,0.4171,0.48,0.25,0.285
P05_GroupB_20260113,1,1,3,medium,0.5,56.655,26.89,0.0384,1,success,0,0.4466,0.2689,0.3809,0.48,0.25,0.285
P05_GroupB_20260113,1,1,4,easy,0.5135,65.231,33.801,0.0495,1,success,0,0.4335,0.267,0.4035,0.48,0.25,0.285
P05_GroupB_20260113,1,1,5,hard,0.593,70.983,37.475,0.0697,0,missed_target,1,0.4491,0.3125,0.4166,0.48,0.25,0.285
