participant,run_id,block_num,trial,difficulty,D,time_total,time_to_grasp,placement_error,success,outcome,drops,cube_x,cube_y,cube_z,target_x,target_y,target_z
P00_GroupA_20260113,1,1,0,easy,0.5135,96.14,56.484,0.0582,1,success,0,0.4219,0.2472,0.4183,0.48,0.25,0.285
P00_GroupA_20260113,1,1,1,hard,0.593,77.773,76.526,0.5933,0,missed_target,1,0.5404,-0.3402,0.2801,0.48,0.25,0.285
P00_GroupA_20260113,1,1,2,medium,0.5,33.774,17.31,0.5187,0,missed_target,1,0.4723,-0.2686,0.3686,0.48,0.25,0.285
P00_GroupA_20260113,1,1,3,easy,0.5135,64.847,35.278,0.0593,1,success,0,0.4215,0.2597,0.3285,0.48,0.25,0.285
P00_GroupA_20260113,1,1,4,medium,0.5,57.631,29.069,0.0495,1,success,0,0.4353,0.2714,0.2965,0.48,0.25,0.285
P00_GroupA_20260113,1,1,5,hard,0.593,115.902,110.005,0.5864,0,missed_target,1,0.5475,-0.3325,0.3449,0.48,0.25,0.285
P01_GroupB_20260113,1,2,0,medium,0.5,81.15,50.074,0.0338,1,success,0,0.4555,0.2733,0.4737,0.48,0.25,0.285
P01_GroupB_20260113,1,2,1,medium,0.5,59.541,29.131,0.0049,1,success,0,0.4763,0.2531,0.405,0.48,0.25,0.285
P01_GroupB_20260113,1,2,2,hard,0.593,55.218,37.43,0.5596,0,missed_target,1,0.4548,-0.309,0.4384,0.48,0.25,0.285
P01_GroupB_20260113,1,2,3,hard,0.593,55.067,51.996,0.5937,0,missed_target,1,0.5412,-0.3405,0.2974,0.48,0.25,0.285
P01_GroupB_20260113,1,2,4,easy,0.5135,60.831,28.03,0.0402,1,success,0,0.4398,0.2497,0.4131,0.48,0.25,0.285
P01_GroupB_20260113,1,2,5,easy,0.5135,58.484,25.373,0.0467,1,success,0,0.4344,0.2401,0.4181,0.48,0.25,0.285
P02_GroupA_20260113,1,1,0,easy,0.5135,53.466,40.187,0.4475,0,missed_target,1,0.4516,-0.1966,0.4375,0.48,0.25,0.285
P02_GroupA_20260113,1,1,1,medium,0.5,65.843,36.693,0.0304,1,success,0,0.4538,0.2654,0.4735,0.48,0.25,0.285
P02_GroupA_20260113,1,1,2,hard,0.593,65.755,43.524,0.5515,0,missed_target,1,0.4655,-0.3013,0.4357,0.48,0.25,0.285
P02_GroupA_20260113,1,1,3,hard,0.593,87.818,42.84,0.0288,1,success,0,0.454,0.2622,0.4935,0.48,0.25,0.285
P02_GroupA_20260113,1,1,4,easy,0.5135,55.61,24.14,0.0631,1,success,0,0.4171,0.254,0.4192,0.48,0.25,0.285
P02_GroupA_20260113,1,1,5,medium,0.5,59.248,28.432,0.0231,1,success,0,0.4594,0.2604,0.4644,0.48,0.25,0.285
P03_GroupB_20260113,1,2,0,easy,0.5135,64.291,33.335,0.0501,1,success,0,0.4302,0.2441,0.4027,0.48,0.25,0.285
P03_GroupB_20260113,1,2,1,easy,0.5135,75.046,43.456,0.0385,1,success,0,0.4434,0.2619,0.3926,0.48,0.25,0.285
P03_GroupB_20260113,1,2,2,hard,0.593,85.945,40.243,0.0334,1,success,0,0.4663,0.2804,0.4086,0.48,0.25,0.285
P03_GroupB_20260113,1,2,3,medium,0.5,57.195,26.398,0.0114,1,success,0,0.4697,0.2452,0.4574,0.48,0.25,0.285
P03_GroupB_20260113,1,2,4,hard,0.593,84.923,41.29,0.023,1,success,0,0.4671,0.2691,0.4642,0.48,0.25,0.285
P03_GroupB_20260113,1,2,5,medium,0.5,60.463,29.683,0.0419,1,success,0,0.4521,0.2813,0.4446,0.48,0.25,0.285
P04_GroupA_20260113,1,1,0,medium,0.5,68.987,35.984,0.0193,1,success,0,0.4607,0.2486,0.4838,0.48,0.25,0.285
P04_GroupA_20260113,1,1,1,medium,0.5,62.157,29.645,0.0424,1,success,0,0.4414,0.2324,0.4071,0.48,0.25,0.285
P04_GroupA_20260113,1,1,2,easy,0.5135,57.31,22.393,0.071,0,missed_target,1,0.4091,0.2539,0.4322,0.48,0.25,0.285
P04_GroupA_20260113,1,1,3,hard,0.593,98.15,43.904,0.0558,1,success,0,0.4835,0.1943,0.4484,0.48,0.25,0.285
P04_GroupA_20260113,1,1,4,easy,0.5135,53.126,23.368,0.0542,1,success,0,0.4261,0.2443,0.4005,0.48,0.25,0.285
P04_GroupA_20260113,1,1,5,hard,0.593,45.011,40.303,0.5945,0,missed_target,1,0.5445,-0.341,0.3608,0.48,0.25,0.285
P05_GroupB_20260113,1,2,0,easy,0.5135,58.724,48.558,0.5001,0,missed_target,1,0.4263,-0.2472,0.3965,0.48,0.25,0.285
P05_GroupB_20260113,1,2,1,hard,0.593,83.192,44.975,0.0297,1,success,0,0.5095,0.2473,0.4561,0.48,0.25,0.285
P05_GroupB_20260113,1,2,2,medium,0.5,61.856,29.165,0.0327,1,success,0,0.4474,0.2527,0.5107,0.48,0.25,0.285
P05_GroupB_20260113,1,2,3,medium,0.5,46.569,28.492,0.5012,0,missed_target,1,0.4344,-0.2491,0.397,0.48,0.25,0.285
P05_GroupB_20260113,1,2,4,easy,0.5135,56.705,24.649,0.0508,1,success,0,0.4339,0.2288,0.3966,0.48,0.25,0.285
P05_GroupB_20260113,1,2,5,hard,0.593,81.394,38.235,0.0555,1,success,0,0.4565,0.3003,0.4503,0.48,0.25,0.285
P06_GroupA_20260113,1,1,0,easy,0.5212,54.103,39.812,0.4619,0,missed_target,1,0.4489,-0.1897,0.4412,0.48,0.25,0.285
P06_GroupA_20260113,1,1,1,medium,0.4936,66.427,37.051,0.0347,1,success,0,0.4561,0.2718,0.4692,0.48,0.25,0.285
P06_GroupA_20260113,1,1,2,hard,0.6018,64.982,44.106,0.5632,0,missed_target,1,0.4627,-0.2941,0.4398,0.48,0.25,0.285
P06_GroupA_20260113,1,1,3,hard,0.5879,88.604,43.217,0.0315,1,success,0,0.4586,0.2589,0.4897,0.48,0.25,0.285
P06_GroupA_20260113,1,1,4,easy,0.5068,56.184,25.003,0.0594,1,success,0,0.4209,0.2476,0.4238,0.48,0.25,0.285
P06_GroupA_20260113,1,1,5,medium,0.5071,58.719,29.014,0.0268,1,success,0,0.4552,0.2661,0.4689,0.48,0.25,0.285
P07_GroupA_20260113,2,1,0,hard,0.593,54.687,51.498,0.5944,0,missed_target,1,0.5415,-0.3412,0.3082,0.48,0.25,0.285
P07_GroupA_20260113,2,1,1,medium,0.5,62.435,33.944,0.0254,1,success,0,0.4638,0.2696,0.4079,0.48,0.25,0.285
P07_GroupA_20260113,2,1,2,hard,0.593,63.807,38.434,0.4117,0,missed_target,1,0.558,-0.1542,0.4361,0.48,0.25,0.285
